PacketCount,Sent_Time,Encoding_Time,Size_In_Bytes,Msg_Rate
1,111.7644,3.1186,160,8.95
2,121.9483,0.2926,160,16.40
3,124.2071,0.2031,160,24.15
4,126.8872,0.1230,160,31.52
5,130.1133,1.4580,160,38.43
6,131.2769,0.0754,160,45.70
7,131.5493,0.1471,160,53.21
8,132.7415,0.0775,160,60.27
9,139.3931,0.9829,160,64.57
10,141.7311,0.1974,160,70.56
11,143.547,0.1159,160,76.63
12,145.3262,0.0577,160,82.57
13,145.4596,0.0404,160,89.37
14,148.1188,0.0627,160,94.52
15,148.7072,0.2139,160,100.87
16,150.6599,0.0932,160,106.20
17,151.9314,0.0636,160,111.89
18,154.4821,0.1227,160,116.52
19,156.9882,0.4412,160,121.03
20,159.1969,0.0583,160,125.63
21,159.6508,0.0609,160,131.54
22,161.5129,0.0609,160,136.21
23,162.5633,0.0635,160,141.48
24,163.4862,0.0622,160,146.80
25,165.6185,0.4947,160,150.95
26,167.4635,0.0583,160,155.26
27,169.1192,0.1187,160,159.65
28,170.6532,0.0636,160,164.08
29,172.035,0.0635,160,168.57
30,173.7248,0.2957,160,172.69
31,175.1182,0.0638,160,177.02
32,176.1893,0.0657,160,181.62
33,177.659,0.0777,160,185.75
34,178.8965,0.0523,160,190.05
35,179.9431,0.0633,160,194.51
36,180.8489,0.0608,160,199.06
37,181.8705,0.0755,160,203.44
38,183.444,0.0668,160,207.15
39,184.5909,0.0999,160,211.28
40,186.2779,0.0724,160,214.73
41,186.4156,0.0346,160,219.94
42,190.1953,0.2640,160,220.83
43,191.6647,0.1227,160,224.35
44,193.5272,0.0616,160,227.36
45,196.5256,0.0660,160,228.98
46,198.114,0.0673,160,232.19
47,199.5902,0.0596,160,235.48
48,200.8665,0.0417,160,238.96
49,202.0469,0.0527,160,242.52
50,203.2969,0.0612,160,245.95
51,203.4841,0.0488,160,250.63
52,204.6901,0.0823,160,254.04
53,205.4276,0.0665,160,258.00
54,206.9849,0.0625,160,260.89
55,207.8403,0.0597,160,264.63
56,209.8959,0.0834,160,266.80
57,210.5792,0.0727,160,270.68
58,211.7834,0.0683,160,273.86
59,213.2312,0.0514,160,276.69
60,214.6362,0.0598,160,279.54
61,216.0649,0.0582,160,282.32
62,217.2363,0.0624,160,285.40
63,218.9209,0.1318,160,287.78
64,220.3495,0.0426,160,290.45
65,221.889,0.0647,160,292.94
66,223.1295,0.0651,160,295.79
67,224.7117,0.0586,160,298.16
68,226.2416,0.0544,160,300.56
69,227.5542,0.0575,160,303.22
70,228.8177,0.0655,160,305.92
71,230.7469,0.5271,160,307.70
72,232.7836,0.0728,160,309.30
73,233.9808,0.0464,160,311.99
74,235.173,0.0536,160,314.66
75,236.4298,0.0644,160,317.22
76,238.2279,0.2216,160,319.02
77,238.424,0.0519,160,322.95
78,239.7192,0.0625,160,325.38
79,240.4362,0.0555,160,328.57
80,242.2993,0.0701,160,330.17
81,243.4456,0.1347,160,332.72
82,244.8766,0.0461,160,334.86
83,246.3937,0.0569,160,336.86
84,247.6616,0.0426,160,339.17
85,248.6975,0.0730,160,341.78
86,249.9619,0.0987,160,344.05
87,251.2488,0.0438,160,346.27
88,251.4387,0.0486,160,349.99
89,252.9858,0.0463,160,351.80
90,254.638,0.0487,160,353.44
91,256.0754,0.0547,160,355.36
92,257.4383,0.0600,160,357.37
93,258.8036,0.0525,160,359.35
94,260.0632,0.0450,160,361.45
95,261.565,0.0434,160,363.20
96,262.8503,0.0512,160,365.23
97,263.9381,0.0375,160,367.51
98,265.2349,0.0379,160,369.48
99,266.2925,0.0350,160,371.77
100,266.4089,0.0195,160,375.36
